bucket,bucketPosition,globalRank,id,name,odds,bookmakerCount,bucketStartOdds,bucketEndOdds
14,4,69,NcPpbqCAutJ7mQ1T6R1k,Nico Echavarria,29500,4,27500,29500
14,5,70,JzadZlAC2o9jw4G8qbev,Rasmus Neergaard-Petersen,29500,4,27500,29500
15,1,71,ck77Pkh5H2NJvZAd9G3W,John Keefer,32500,4,32500,52500
15,2,72,fKEiKuF54UgIUi2cLkCX,Sami Välimäki,34500,4,32500,52500
15,3,73,qO7pn4NWAI1PWJSuFCUJ,Michael Brennan,35000,4,32500,52500
15,4,74,NME8IJjFp1Dc32QU0xEq,Bubba Watson,45000,4,32500,52500
15,5,75,DF4wAuWhzQ3khJTHQNlg,Zach Johnson,52500,4,32500,52500
16,1,76,rK93gQVSjO3qMGmQqiNs,Charl Schwartzel,57500,4,57500,100000
16,2,77,AnrXQS11NE0ENsJS5vkl,Davis Riley,62500,4,57500,100000
16,3,78,vcxuLIVNCYrRGOqZmz06,Danny Willett,87500,4,57500,100000
16,4,79,FJK62bDwq55QtIXzGXQa,Ben Campbell,100000,4,57500,100000
16,5,80,Z7EIAPHrCeSYoBcN10Vk,Naoyuki Kataoka,100000,4,57500,100000
17,1,81,rtbuloHgLxsK1AmzVCRw,Pongsapak Laopakdee,112500,4,112500,175000
17,2,82,czWdHK93XQhKfYlXxTFD,Mason Howell,125000,4,112500,175000
17,3,83,orwH8j7t0jOMfMLpvpL4,Ethan Fang,150000,4,112500,175000
17,4,84,k7WCLhx1AqbYMBxEeBRz,Brandon Wu,175000,4,112500,175000
17,5,85,GUoLq8v3CMylhkkivSZG,Jackson Herrington,175000,4,112500,175000
18,1,86,CJZdTv6cNPq2O95FZxPJ,Mateo Pulcini,175000,4,175000,375000
18,2,87,31fJnM1CScG1hSeCEOYp,Angel Cabrera,200000,3,175000,375000
18,3,88,wIehWbFKnjXoF5LeqCcb,Mike Weir,275000,4,175000,375000
18,4,89,4QcGhwLvVInsMjIMAojj,Fred Couples,300000,4,175000,375000
18,5,90,YhOBfgAEGQ5a4WlpdbYC,Vijay Singh,375000,4,175000,375000
19,1,91,ejUpU93kwtAybKEtT6Nh,Jose Maria Olazábal,400000,4,400000,400000
